"","TagID","travel_time","Release_Group_SAIL","Year","Group","origin","Route","TagType","FishID","tt.grp"
"1",2051,11.7708796296296,"Tidal Delta",2012,"Late-Fall","hatchery","Yolo","Vemco","1.MJ","Chips"
"2",2055,13.8167013888889,"Tidal Delta",2012,"Late-Fall","hatchery","Yolo","Vemco","2.MJ","Chips"
"3",2057,5.84836805555556,"Tidal Delta",2012,"Late-Fall","hatchery","Yolo","Vemco","3.MJ","Chips"
"4",2058,12.9244097222222,"Tidal Delta",2012,"Late-Fall","hatchery","Yolo","Vemco","4.MJ","Chips"
"5",2059,10.7981018518519,"Tidal Delta",2012,"Late-Fall","hatchery","Yolo","Vemco","5.MJ","Chips"
"6",2063,7.62665509259259,"Tidal Delta",2012,"Late-Fall","hatchery","Yolo","Vemco","6.MJ","Chips"
"7",2064,9.69178240740741,"Tidal Delta",2012,"Late-Fall","hatchery","Yolo","Vemco","7.MJ","Chips"
"8",2065,6.83810185185185,"Middle Sacramento River",2012,"Late-Fall","hatchery","SacR","Vemco","8.MJ","Chips"
"9",2066,7.67917824074074,"Tidal Delta",2012,"Late-Fall","hatchery","Yolo","Vemco","9.MJ","Chips"
"10",2067,6.68800925925926,"Tidal Delta",2012,"Late-Fall","hatchery","Yolo","Vemco","10.MJ","Chips"
"11",2070,6.04434027777778,"Tidal Delta",2012,"Late-Fall","hatchery","Yolo","Vemco","11.MJ","Chips"
"12",2075,9.77302083333333,"Tidal Delta",2012,"Late-Fall","hatchery","Yolo","Vemco","12.MJ","Chips"
"13",2076,11.7864467592593,"Tidal Delta",2012,"Late-Fall","hatchery","Yolo","Vemco","13.MJ","Chips"
"14",2078,7.84450231481481,"Middle Sacramento River",2012,"Late-Fall","hatchery","SacR","Vemco","14.MJ","Chips"
"15",2079,13.1026736111111,"Middle Sacramento River",2012,"Late-Fall","hatchery","SacR","Vemco","15.MJ","Chips"
"16",2080,7.550625,"Middle Sacramento River",2012,"Late-Fall","hatchery","SacR","Vemco","16.MJ","Chips"
"17",2081,6.23950231481481,"Middle Sacramento River",2012,"Late-Fall","hatchery","SacRSlough","Vemco","17.MJ","Chips"
"18",2082,6.25921296296296,"Middle Sacramento River",2012,"Late-Fall","hatchery","SacR","Vemco","18.MJ","Chips"
"19",2083,8.84472222222222,"Middle Sacramento River",2012,"Late-Fall","hatchery","SacR","Vemco","19.MJ","Chips"
