FishID,TagID,travel_time,Release_Group_SAIL,Year,Route,TagType,tt.grp,River_temp
1.MJ,2051,11.77087963,Tidal Delta,2012,Yolo,Vemco,Chips,13.8
1.YBUS,36186,6.547847222,Middle Sacramento River,2016,SacR,Vemco,Chips,11
10.MJ,2067,6.688009259,Tidal Delta,2012,Yolo,Vemco,Chips,13.8
10.YBUS,36367,17.55146991,Middle Sacramento River,2016,SacR,Vemco,Chips,13
100.YBUS,38784,6.918587963,Middle Sacramento River,2016,SacRSlough,Vemco,Chips,13.5
101.YBUS,38788,12.98334491,Middle Sacramento River,2016,SacR,Vemco,Chips,13.5
102.YBUS,38789,4.662314815,Middle Sacramento River,2016,SacRSlough,Vemco,Chips,13.5
103.YBUS,38791,4.165949074,Middle Sacramento River,2016,SacR,Vemco,Chips,13.5
104.YBUS,38792,4.065752315,Middle Sacramento River,2016,SacR,Vemco,Chips,13.5
105.YBUS,38793,6.704340278,Middle Sacramento River,2016,SacR,Vemco,Chips,13.5
106.YBUS,38795,4.644513889,Middle Sacramento River,2016,SacR,Vemco,Chips,13.5
107.YBUS,38796,4.144189815,Middle Sacramento River,2016,SacR,Vemco,Chips,13.5
108.YBUS,38798,4.119108796,Middle Sacramento River,2016,SacR,Vemco,Chips,13.5
109.YBUS,38799,8.216782407,Middle Sacramento River,2016,SacRSlough,Vemco,Chips,13.5
11.MJ,2070,6.044340278,Tidal Delta,2012,Yolo,Vemco,Chips,13.8
11.YBUS,36371,9.213055556,Middle Sacramento River,2016,SacR,Vemco,Chips,13
110.YBUS,38815,5.163761574,Middle Sacramento River,2016,SacR,Vemco,Chips,13.5
111.YBUS,38823,4.653611111,Middle Sacramento River,2016,SacR,Vemco,Chips,13.5
112.YBUS,38824,5.199918981,Middle Sacramento River,2016,SacRSlough,Vemco,Chips,13.5
113.YBUS,38826,4.636064815,Middle Sacramento River,2016,SacR,Vemco,Chips,13.5
114.YBUS,38828,4.450613426,Middle Sacramento River,2016,SacRSlough,Vemco,Chips,14.1
115.YBUS,38829,5.984664352,Middle Sacramento River,2016,SacRSlough,Vemco,Chips,14.1
116.YBUS,38831,4.427210648,Middle Sacramento River,2016,SacR,Vemco,Chips,14.1
117.YBUS,38835,10.67515046,Middle Sacramento River,2016,CenDel,Vemco,Chips,14.1
118.YBUS,38836,8.593622685,Middle Sacramento River,2016,CenDel,Vemco,Chips,14.1
