"","date","sac","inund_days"
"1",1984-02-01,32400,0
"2",1984-02-02,31000,0
"3",1984-02-03,30200,0
"4",1984-02-04,28800,0
"5",1984-02-05,26400,0
"6",1984-02-06,24600,0
"7",1984-02-07,23800,0
"8",1984-02-08,23000,0
"9",1984-02-09,22300,0
"10",1984-02-10,22300,0
"11",1984-02-11,22100,0
"12",1984-02-12,22500,0
"13",1984-02-13,22600,0
"14",1984-02-14,26700,0
"15",1984-02-15,35100,0
"16",1984-02-16,40500,0
"17",1984-02-17,42600,0
"18",1984-02-18,44500,0
"19",1984-02-19,42400,0
"20",1984-02-20,39400,0
"21",1984-02-21,37500,0
"22",1984-02-22,39800,0
"23",1984-02-23,41100,0
"24",1984-02-24,40300,0
"25",1984-02-25,37700,0
"26",1984-02-26,35900,0
"27",1984-02-27,35300,0
"28",1984-02-28,34700,0
"29",1984-02-29,33300,0
"30",1984-03-01,32000,0
"31",1984-03-02,30900,0
"32",1984-03-03,30100,0
"33",1984-03-04,30400,0
"34",1984-03-05,29400,0
"35",1984-03-06,27100,0
"36",1984-03-07,25800,0
"37",1984-03-08,25400,0
"38",1984-03-09,24900,0
"39",1984-03-10,24400,0
"40",1984-03-11,23900,0
"41",1984-03-12,23600,0
"42",1984-03-13,22500,0
"43",1984-03-14,23000,0
"44",1984-03-15,25900,0
"45",1984-03-16,31600,0
"46",1984-03-17,36100,0
"47",1984-03-18,39600,0
"48",1984-03-19,40300,0
"49",1984-03-20,38900,0
"50",1984-03-21,38500,0
"51",1984-03-22,38000,0
"52",1984-03-23,37500,0
"53",1984-03-24,36600,0
"54",1984-03-25,35900,0
"55",1984-03-26,35000,0
"56",1984-03-27,34700,0
"57",1984-03-28,34100,0
"58",1984-03-29,33400,0
"59",1984-03-30,32200,0
"60",1984-03-31,32500,0
"61",1984-04-01,30300,0
"62",1984-04-02,29000,0
"63",1984-04-03,27600,0
"64",1984-04-04,25100,0
"65",1984-04-05,22500,0
"66",1984-04-06,21300,0
"67",1984-04-07,19800,0
"68",1984-04-08,18900,0
"69",1984-04-09,19600,0
"70",1984-04-10,20300,0
"71",1984-04-11,20800,0
"72",1984-04-12,20800,0
"73",1984-04-13,20600,0
"74",1984-04-14,19600,0
"75",1984-04-15,18300,0
"76",1984-04-16,17700,0
"77",1984-04-17,16500,0
"78",1984-04-18,15400,0
"79",1984-04-19,14500,0
"80",1984-04-20,15000,0
"81",1984-04-21,15700,0
"82",1984-04-22,15600,0
"83",1984-04-23,14500,0
"84",1984-04-24,13500,0
"85",1984-04-25,12000,0
"86",1984-04-26,10800,0
"87",1984-04-27,10200,0
"88",1984-04-28,10400,0
"89",1984-04-29,10600,0
"90",1984-04-30,11100,0
"91",1984-05-01,11300,0
"92",1984-05-02,11200,0
"93",1984-05-03,12000,0
"94",1984-05-04,13800,0
"95",1984-05-05,15700,0
"96",1984-05-06,16400,0
"97",1984-05-07,16700,0
"98",1984-05-08,16300,0
"99",1984-05-09,15800,0
"100",1984-05-10,15300,0
"101",1984-05-11,15400,0
"102",1984-05-12,15400,0
"103",1984-05-13,15800,0
"104",1984-05-14,16500,0
"105",1984-05-15,17500,0
"106",1984-05-16,17400,0
"107",1984-05-17,17800,0
"108",1984-05-18,16900,0
"109",1984-05-19,16400,0
"110",1984-05-20,16300,0
"111",1984-05-21,16200,0
"112",1984-05-22,16200,0
"113",1984-05-23,15500,0
"114",1984-05-24,15400,0
"115",1984-05-25,15000,0
"116",1984-05-26,15100,0
"117",1984-05-27,15200,0
"118",1984-05-28,14900,0
"119",1984-05-29,15000,0
"120",1984-05-30,14600,0
"121",1984-05-31,14600,0
"122",1984-06-01,14600,0
"123",1984-06-02,14300,0
"124",1984-06-03,14100,0
"125",1984-06-04,14200,0
"126",1984-06-05,13800,0
"127",1984-06-06,13900,0
"128",1984-06-07,15000,0
"129",1984-06-08,15500,0
"130",1984-06-09,16400,0
"131",1984-06-10,17100,0
"132",1984-06-11,16200,0
"133",1984-06-12,15100,0
"134",1984-06-13,13900,0
"135",1984-06-14,12900,0
"136",1984-06-15,13200,0
"137",1984-06-16,14200,0
"138",1984-06-17,14800,0
"139",1984-06-18,15300,0
"140",1984-06-19,14700,0
"141",1984-06-20,14500,0
"142",1984-06-21,14700,0
"143",1984-06-22,14200,0
"144",1984-06-23,14900,0
"145",1984-06-24,15500,0
"146",1984-06-25,15600,0
"147",1984-06-26,15200,0
"148",1984-06-27,15300,0
"149",1984-06-28,15600,0
"150",1984-06-29,16900,0
"151",1984-06-30,18100,0
"152",1984-07-01,19200,0
"153",1984-07-02,19400,0
"154",1984-07-03,20400,0
"155",1984-07-04,21100,0
"156",1984-07-05,20800,0
"157",1984-07-06,20700,0
"158",1984-07-07,20900,0
"159",1984-07-08,21100,0
"160",1984-07-09,21200,0
"161",1984-07-10,21200,0
"162",1984-07-11,21300,0
"163",1984-07-12,21200,0
"164",1984-07-13,21200,0
"165",1984-07-14,21600,0
"166",1984-07-15,21600,0
"167",1984-07-16,21900,0
"168",1984-07-17,22000,0
"169",1984-07-18,22200,0
"170",1984-07-19,22600,0
"171",1984-07-20,22500,0
"172",1984-07-21,22200,0
"173",1984-07-22,22900,0
"174",1984-07-23,23100,0
"175",1984-07-24,22700,0
"176",1984-07-25,22800,0
"177",1984-07-26,21500,0
"178",1984-07-27,22700,0
"179",1984-07-28,22100,0
"180",1984-07-29,22300,0
"181",1984-07-30,22100,0
"182",1984-07-31,22100,0
"183",1984-08-01,22000,0
"184",1984-08-02,21300,0
"185",1984-08-03,21000,0
"186",1984-08-04,20700,0
"187",1984-08-05,20300,0
"188",1984-08-06,20400,0
"189",1984-08-07,20500,0
"190",1984-08-08,20100,0
"191",1984-08-09,19800,0
"192",1984-08-10,19300,0
"193",1984-08-11,18900,0
"194",1984-08-12,18100,0
"195",1984-08-13,17200,0
"196",1984-08-14,16700,0
"197",1984-08-15,16500,0
"198",1984-08-16,16700,0
"199",1984-08-17,16700,0
"200",1984-08-18,16800,0
"201",1984-08-19,17100,0
"202",1984-08-20,17600,0
"203",1984-08-21,17800,0
"204",1984-08-22,18200,0
"205",1984-08-23,18400,0
"206",1984-08-24,18400,0
"207",1984-08-25,18700,0
"208",1984-08-26,18800,0
"209",1984-08-27,19400,0
"210",1984-08-28,19500,0
"211",1984-08-29,19000,0
"212",1984-08-30,18300,0
"213",1984-08-31,18100,0
"214",1984-09-01,18000,0
"215",1984-09-02,18300,0
"216",1984-09-03,18700,0
"217",1984-09-04,18600,0
"218",1984-09-05,18200,0
"219",1984-09-06,17500,0
"220",1984-09-07,17600,0
"221",1984-09-08,18500,0
"222",1984-09-09,18700,0
"223",1984-09-10,17600,0
