"","FishID","SD","rel","end"
"1","LFC0614",18995.9811231644,"2007-12-07","2008-01-05"
"2","LFC0616",21366.7041989858,"2007-12-07","2008-01-01"
"3","LFC0623",13144.1047696343,"2007-12-07","2008-01-15"
"4","LFC0627",16274.0742385907,"2007-12-07","2008-02-06"
"5","LFC0628",16986.9621333719,"2007-12-07","2008-01-09"
"6","LFC0635",13731.3115018575,"2007-12-07","2008-01-22"
"7","LFC0640",17765.2057035723,"2007-12-07","2008-01-20"
"8","LFC0649",17210.2895076546,"2007-12-07","2008-01-12"
"9","LFC0653",21213.7629014367,"2007-12-07","2008-01-01"
"10","LFC0654",13642.3218385536,"2007-12-07","2008-01-09"
"11","LFC0655",19979.8926722543,"2007-12-07","2007-12-28"
"12","LFC0663",12984.6601802175,"2007-12-07","2008-01-17"
"13","LFC0666",12854.9510805538,"2007-12-07","2008-01-19"
"14","LFC0678",14467.4204142589,"2007-12-07","2008-01-08"
"15","LFC0685",12809.2065803558,"2007-12-07","2008-02-01"
"16","LFC0687",19770.1782502082,"2007-12-07","2007-12-23"
"17","LFC0693",14944.4898778546,"2007-12-07","2008-01-14"
"18","LFC0696",14205.8051697774,"2007-12-07","2008-01-01"
"19","LFC0704",4604.82765152481,"2007-12-07","2008-01-23"
"20","LFC0706",13934.419733398,"2007-12-07","2008-01-07"
"21","LFC0724",19828.8579000299,"2007-12-07","2007-12-30"
"22","LFC0727",14306.4620372987,"2007-12-07","2007-12-22"
"23","LFC0728",7481.169320959,"2007-12-07","2008-02-15"
"24","LFC0738",11163.16685525,"2007-12-07","2007-12-29"
"25","LFC0741",32275.8001188261,"2007-12-07","2007-12-27"
"26","LFC0746",15060.5518530493,"2007-12-07","2008-01-03"
"27","LFC0747",13752.1790739063,"2007-12-07","2008-01-07"
"28","LFC0748",7931.50533253171,"2007-12-07","2008-01-14"
"29","LFC0760",13844.1989413518,"2007-12-07","2008-01-24"
"30","LFC0985",39426.0404172518,"2008-01-17","2008-02-04"
"31","LFC0987",16170.2713991772,"2008-01-17","2008-02-05"
"32","LFC0995",14484.6916856186,"2008-01-17","2008-03-05"
"33","LFC1007",23695.9530019527,"2008-01-17","2008-02-16"
"34","LFC1018",19170.1268881501,"2008-01-17","2008-02-01"
"35","LFC1025",19903.8432926609,"2008-01-17","2008-02-03"
"36","LFC1027",23592.11330613,"2008-01-17","2008-02-06"
"37","LFC1028",14101.7844677079,"2008-01-17","2008-02-03"
"38","LFC1029",8350.92639276497,"2008-01-17","2008-02-10"
"39","LFC1033",4334.25836998965,"2008-01-17","2008-02-20"
"40","LFC1039",12386.6694884204,"2008-01-17","2008-02-04"
"41","LFC1041",11563.5738968257,"2008-01-17","2008-02-05"
"42","LFC1044",10240.9449612284,"2008-01-17","2008-01-29"
"43","LFC1045",13881.6848090439,"2008-01-17","2008-02-05"
"44","LFC1047",19514.3809189519,"2008-01-17","2008-02-08"
"45","LFC1050",14872.5112342287,"2008-01-17","2008-02-06"
"46","LFC1051",7534.62502118599,"2008-01-17","2008-03-01"
"47","LFC1052",15510.7917575009,"2008-01-17","2008-02-01"
"48","LFC1053",18713.5971167397,"2008-01-17","2008-02-25"
"49","LFC1057",12733.8274975541,"2008-01-17","2008-02-27"
"50","LFC1061",16653.8071950277,"2008-01-17","2008-02-01"
"51","LFC1062",18178.7204728672,"2008-01-17","2008-02-10"
"52","LFC1064",14177.5081067776,"2008-01-17","2008-02-05"
"53","LFC1066",9443.27684796813,"2008-01-17","2008-02-05"
"54","LFC1067",14666.3117930054,"2008-01-17","2008-01-30"
"55","LFC1069",9588.08169762138,"2008-01-17","2008-02-01"
"56","LFC1072",14408.5860599365,"2008-01-17","2008-02-12"
"57","LFC1073",14705.8742523822,"2008-01-17","2008-02-18"
"58","LFC1077",11755.0790713879,"2008-01-17","2008-03-02"
"59","LFC1079",13770.8342642396,"2008-01-17","2008-01-29"
"60","LFC1080",11533.9524193614,"2008-01-17","2008-02-06"
"61","LFC1081",15608.402810887,"2008-01-17","2008-01-28"
"62","LFC1082",15944.283102251,"2008-01-17","2008-02-05"
"63","LFC1084",16907.2987133514,"2008-01-17","2008-01-28"
"64","LFC1087",18509.900226728,"2008-01-17","2008-02-02"
"65","LFC1091",19593.9850949663,"2008-01-17","2008-01-31"
"66","LFC1093",15394.927676707,"2008-01-17","2008-01-28"
"67","LFC1099",17202.4481458498,"2008-01-17","2008-01-29"
"68","LFC1101",17856.9871580697,"2008-01-17","2008-01-28"
"69","LFC1103",14219.9289514698,"2008-01-17","2008-02-01"
"70","LFC1106",9482.17083894357,"2008-01-17","2008-03-04"
"71","LFC1109",15385.297618226,"2008-01-17","2008-02-07"
"72","LFC1113",13040.9585453888,"2008-01-17","2008-01-29"
"73","LFC1114",13471.0203750768,"2008-01-17","2008-01-30"
"74","LFC1115",14713.2794053919,"2008-01-17","2008-01-28"
"75","LFC1116",17505.3990354012,"2008-01-17","2008-01-30"
"76","LFC1120",16136.559562916,"2008-01-17","2008-01-31"
"77","LFC1122",16631.0540977741,"2008-01-17","2008-02-22"
"78","LFC1124",13367.4849717437,"2008-01-17","2008-02-05"
"79","LFC1126",14710.7446100402,"2008-01-17","2008-02-23"
"80","LFC1128",12889.9724449904,"2008-01-17","2008-02-10"
"81","LFC1129",19404.0178897275,"2008-01-17","2008-01-28"
