"FishID","2014-02-10","2014-02-11","2014-02-12","2014-02-13","2014-02-14","2014-02-15","2014-02-16","2014-02-17","2014-02-18","2014-02-19","2014-02-20","2014-02-21","2014-02-22","2014-02-23","2014-02-24","2014-02-25","2014-02-26","2014-02-27","2014-02-28","2014-03-01","2014-03-02","2014-03-03","2014-03-04","2014-03-05","2014-03-06","2014-03-07","2014-03-08","2014-03-09","2014-03-10","2014-03-11","2014-03-12","2014-03-13","2014-03-14","2014-03-15","2014-03-16","2014-03-17","2014-03-18","2014-03-19","2014-03-20","2014-03-21","2014-03-22","2014-03-23","2014-03-24","2014-03-25","2014-03-26","2014-03-27","2014-03-28","2014-03-29","2014-03-30","2014-03-31","2014-04-01","2014-04-02","2014-04-03","2014-04-04","2014-04-05","2014-04-06","2014-04-07","2014-04-08","2014-04-09","2014-04-10","2014-04-11","2014-04-12","2014-04-13","2014-04-14","2014-04-15","2014-04-16","2014-04-17","2014-04-18","2014-04-19","2014-04-20","2014-04-21","2014-04-22","2014-04-23","2014-04-24","2014-04-25","2014-04-26","2014-04-27","2014-04-28","2014-04-29","2014-04-30","2014-05-01","2014-05-02","2014-05-03","2014-05-04","2014-05-05","2014-05-06","2014-05-07","2014-05-08","2014-05-09","2014-05-10","2014-05-11","2014-05-12","2014-05-13","2014-05-14","2014-05-15","2014-05-16","2014-05-17"
"FR2014-250",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,237.58,6546.93,8910.515,8910.515,13008.6558333333,13008.6558333333,13008.6558333333,13008.6558333333,13008.6558333333,13008.6558333333,13008.6558333333,13008.6558333333,13008.6558333333,13008.6558333333,13008.6558333333,13008.6558333333,25362.515,25362.515,25362.515,25362.515,5772.266875,5772.266875,5772.266875,5772.266875,5772.266875,5772.266875,5772.266875,5772.266875,5772.266875,5772.266875,5772.266875,5772.266875,5772.266875,5772.266875,5772.266875,5772.266875
"WR2014-010",15777.56,79207.43,32029.51,2029.83533333333,2029.83533333333,2029.83533333333,2029.83533333333,2029.83533333333,2029.83533333333,2029.83533333333,2029.83533333333,2029.83533333333,2029.83533333333,2029.83533333333,2029.83533333333,2029.83533333333,2029.83533333333,2029.83533333333,32691.95,92467.99,98570.8,33889.76,26567.36,4330.47,11401.28,17489.565,17489.565,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"WR2014-018",15777.56,79207.43,32029.51,30447.53,5448.65833333333,5448.65833333333,5448.65833333333,5448.65833333333,5448.65833333333,5448.65833333333,11593.205,11593.205,10178.6,10178.6,10178.6,12915.26,12915.26,12915.26,29026.04,69544.76,53060.47,29190.19,12613,15460.1366666667,15460.1366666667,15460.1366666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"WR2014-030",15777.56,14712.57,64494.86,15199.85,1202.11857142857,1202.11857142857,1202.11857142857,1202.11857142857,1202.11857142857,1202.11857142857,1202.11857142857,1202.11857142857,1202.11857142857,1202.11857142857,1202.11857142857,1202.11857142857,1202.11857142857,1202.11857142857,63139.48,92467.99,29026.04,113013.7,9427.13,13466.1766666667,13466.1766666667,13466.1766666667,17489.565,17489.565,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"WR2014-042",7239.42,87745.57,32029.51,30447.53,2971.99545454545,2971.99545454545,2971.99545454545,2971.99545454545,2971.99545454545,2971.99545454545,2971.99545454545,2971.99545454545,2971.99545454545,2971.99545454545,2971.99545454545,11593.205,11593.205,34640.79,34640.79,29026.04,69544.76,53060.47,10390.76,10390.76,1401.44333333333,1401.44333333333,1401.44333333333,5700.64,5700.64,17489.565,17489.565,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"WR2014-052",15777.56,59709.67,34697.61,47277.19,4086.49375,4086.49375,4086.49375,4086.49375,4086.49375,4086.49375,4086.49375,4086.49375,13209.7128571429,13209.7128571429,13209.7128571429,13209.7128571429,13209.7128571429,13209.7128571429,13209.7128571429,46095.2,95944.54,30373.05,12613,11401.28,34979.13,9444.08666666667,9444.08666666667,9444.08666666667,9444.08666666667,9444.08666666667,9444.08666666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"WR2014-058",15777.56,79207.43,32029.51,10149.1766666667,10149.1766666667,10149.1766666667,32691.95,23186.41,15267.9,15267.9,67771.82,34772.38,34772.38,18811.74,24657.2,9591.53,20781.52,4204.33,11401.28,8744.7825,8744.7825,8744.7825,8744.7825,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"WR2014-066",15777.56,59709.67,25763.635,25763.635,14118.18625,14118.18625,14118.18625,14118.18625,14118.18625,14118.18625,14118.18625,14118.18625,14118.18625,14118.18625,14118.18625,14118.18625,14118.18625,14118.18625,14118.18625,14118.18625,33889.76,21149.555,21149.555,17489.565,17489.565,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"WR2014-075",NA,NA,NA,NA,NA,NA,213340.38,2544.65,2544.65,2544.65,2544.65,2544.65,2544.65,2544.65,2544.65,2544.65,2544.65,2544.65,2544.65,76249.12,76249.12,12168.32,12168.32,11471.505,11471.505,19310.385,19310.385,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"WR2014-085",15777.56,79207.43,15199.85,8414.83,8414.83,2342.11769230769,2342.11769230769,2342.11769230769,2342.11769230769,2342.11769230769,2342.11769230769,2342.11769230769,2342.11769230769,2342.11769230769,2342.11769230769,2342.11769230769,2342.11769230769,2342.11769230769,86414.15,67771.82,69544.76,53060.47,20781.52,12613,5700.64,5700.64,34979.13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
