"","FishID","SD","rel","end"
"1","ARF2017-005",11891.9909188938,"2017-05-24","2017-05-31"
"2","ARF2017-007",20432.2134786657,"2017-05-24","2017-05-28"
"3","ARF2017-012",14775.3948596671,"2017-05-24","2017-05-28"
"4","ARF2017-016",18824.2771210907,"2017-05-24","2017-05-28"
"5","ARF2017-022",19723.7118635099,"2017-05-24","2017-05-29"
"6","ARF2017-024",14710.1298797009,"2017-05-24","2017-05-31"
"7","ARF2017-026",17429.0279628186,"2017-05-24","2017-05-29"
"8","ARF2017-030",17947.2091107273,"2017-05-24","2017-05-29"
"9","ARF2017-045",15147.5602788883,"2017-05-24","2017-06-07"
"10","ARF2017-047",18229.7974874697,"2017-05-24","2017-05-29"
"11","ARF2017-049",18906.516304566,"2017-05-24","2017-05-29"
"12","ARF2017-050",10115.3964526311,"2017-05-24","2017-05-29"
"13","ARF2017-051",11786.1440988061,"2017-05-24","2017-05-29"
"14","ARF2017-054",21471.1746573878,"2017-05-24","2017-05-30"
"15","ARF2017-058",20632.7593729331,"2017-05-24","2017-05-29"
"16","ARF2017-075",20041.7772302081,"2017-05-24","2017-06-01"
"17","ARF2017-079",15708.896900044,"2017-05-24","2017-05-29"
"18","ARF2017-081",16302.8780182348,"2017-05-24","2017-05-31"
"19","ARF2017-101",16078.9721358028,"2017-05-24","2017-05-30"
"20","ARF2017-105",14609.3444940582,"2017-05-24","2017-05-30"
"21","ARF2017-108",13272.2229392502,"2017-05-24","2017-05-31"
"22","ARF2017-114",23009.7144772453,"2017-05-24","2017-05-27"
"23","ARF2017-115",14789.9821928103,"2017-05-24","2017-05-30"
"24","ARF2017-117",18953.612636529,"2017-05-24","2017-05-29"
"25","ARF2017-118",15672.1689711819,"2017-05-24","2017-06-02"
"26","ARF2017-121",19058.0681912124,"2017-05-24","2017-05-29"
"27","ARF2017-130",15477.477709526,"2017-05-24","2017-05-30"
"28","ARF2017-135",8769.25391076452,"2017-05-24","2017-06-02"
"29","ARF2017-136",16103.6657120003,"2017-05-24","2017-05-27"
"30","ARF2017-139",14221.2088809689,"2017-05-24","2017-05-30"
"31","ARF2017-152",17690.5597904951,"2017-05-31","2017-06-06"
"32","ARF2017-157",17598.6344053308,"2017-05-31","2017-06-05"
"33","ARF2017-159",17962.6112423467,"2017-05-31","2017-06-07"
"34","ARF2017-170",20874.115412911,"2017-05-31","2017-06-04"
"35","ARF2017-173",22305.6276760623,"2017-05-31","2017-06-05"
"36","ARF2017-177",12063.6190771671,"2017-05-31","2017-06-04"
"37","ARF2017-184",16474.5458680017,"2017-05-31","2017-06-05"
"38","ARF2017-194",16205.1786843328,"2017-05-31","2017-06-04"
"39","ARF2017-200",14560.1408264438,"2017-05-31","2017-06-09"
"40","ARF2017-205",21543.2325231719,"2017-05-31","2017-06-04"
"41","ARF2017-206",21205.3647557601,"2017-05-31","2017-06-04"
"42","ARF2017-211",16254.6051515274,"2017-05-31","2017-06-06"
"43","ARF2017-213",19167.9819256779,"2017-05-31","2017-06-04"
"44","ARF2017-214",18223.5989936168,"2017-05-31","2017-06-05"
"45","ARF2017-219",19793.394450865,"2017-05-31","2017-06-04"
"46","ARF2017-248",18905.4120051459,"2017-05-31","2017-06-04"
"47","ARF2017-258",21537.6111858383,"2017-05-31","2017-06-03"
"48","ARF2017-266",20970.8388242198,"2017-05-31","2017-06-04"
"49","ARF2017-269",13646.6650832217,"2017-05-31","2017-06-05"
"50","ARF2017-270",20154.8273440549,"2017-05-31","2017-06-04"
"51","ARF2017-271",14528.8244983864,"2017-05-31","2017-06-04"
