"FishID","2012-03-30","2012-03-31","2012-04-01","2012-04-02","2012-04-03","2012-04-04","2012-04-05","2012-04-06","2012-04-07","2012-04-08","2012-04-09","2012-04-10","2012-04-11","2012-04-12","2012-04-13","2012-04-14","2012-04-15","2012-04-16"
2051,NA,NA,NA,NA,NA,12979.57,25406.33,14320.8,5000.03333333333,5000.03333333333,5000.03333333333,6708.75571428571,6708.75571428571,6708.75571428571,6708.75571428571,6708.75571428571,6708.75571428571,6708.75571428571
2055,NA,NA,NA,NA,NA,NA,12979.57,25406.33,14320.8,3750.025,3750.025,3750.025,3750.025,15653.7633333333,15653.7633333333,15653.7633333333,NA,NA
2057,NA,23826.27,14559.63,10064.155,10064.155,23480.645,23480.645,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2058,NA,NA,12979.57,25406.33,4025.662,4025.662,4025.662,4025.662,4025.662,15000.1,5000.03333333333,5000.03333333333,5000.03333333333,15653.7633333333,15653.7633333333,15653.7633333333,NA,NA
2059,NA,NA,NA,NA,12979.57,10846.7,28880.44,15000.1,9392.258,9392.258,9392.258,9392.258,9392.258,NA,NA,NA,NA,NA
2063,NA,23826.27,28880.44,6312.01857142857,6312.01857142857,6312.01857142857,6312.01857142857,6312.01857142857,6312.01857142857,6312.01857142857,NA,NA,NA,NA,NA,NA,NA,NA
2064,NA,NA,NA,12979.57,10846.7,28880.44,7500.05,7500.05,9392.258,9392.258,9392.258,9392.258,9392.258,NA,NA,NA,NA,NA
2065,NA,NA,NA,139083.42,6708.75571428571,6708.75571428571,6708.75571428571,6708.75571428571,6708.75571428571,6708.75571428571,6708.75571428571,NA,NA,NA,NA,NA,NA,NA
2066,NA,23826.27,14559.63,6709.43666666667,6709.43666666667,6709.43666666667,11740.3225,11740.3225,11740.3225,11740.3225,NA,NA,NA,NA,NA,NA,NA,NA
2067,NA,NA,23826.27,14559.63,10064.155,10064.155,11740.3225,11740.3225,11740.3225,11740.3225,NA,NA,NA,NA,NA,NA,NA,NA
2070,12979.57,25406.33,6709.43666666667,6709.43666666667,6709.43666666667,23480.645,23480.645,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2075,NA,23826.27,28880.44,2500.01666666667,2500.01666666667,2500.01666666667,2500.01666666667,2500.01666666667,2500.01666666667,9392.258,9392.258,9392.258,9392.258,9392.258,NA,NA,NA,NA
2076,NA,NA,NA,NA,NA,12979.57,39727.14,5000.03333333333,5000.03333333333,5000.03333333333,9392.258,9392.258,9392.258,9392.258,9392.258,NA,NA,NA
2078,10755.56,25810.42,42050.225,42050.225,4571.61714285714,4571.61714285714,4571.61714285714,4571.61714285714,4571.61714285714,4571.61714285714,4571.61714285714,NA,NA,NA,NA,NA,NA,NA
2079,NA,NA,10755.56,5107.89,5107.89,7797.32,7797.32,28033.4833333333,28033.4833333333,28033.4833333333,8000.33,8000.33,8000.33,8000.33,NA,NA,NA,NA
2080,10755.56,54955.435,54955.435,5333.55333333333,5333.55333333333,5333.55333333333,5333.55333333333,5333.55333333333,5333.55333333333,NA,NA,NA,NA,NA,NA,NA,NA,NA
2081,NA,NA,126330.1,7826.88166666667,7826.88166666667,7826.88166666667,7826.88166666667,7826.88166666667,7826.88166666667,NA,NA,NA,NA,NA,NA,NA,NA,NA
2082,10755.56,42795.49,33557.685,33557.685,4000.165,4000.165,4000.165,4000.165,4000.165,4000.165,4000.165,4000.165,NA,NA,NA,NA,NA,NA
2083,NA,36565.98,72867.34,6305.43,6305.43,6305.43,6305.43,6305.43,6305.43,6305.43,6305.43,NA,NA,NA,NA,NA,NA,NA
2084,10755.56,42795.49,67115.37,8000.33,8000.33,8000.33,8000.33,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2085,10755.56,13738.85875,13738.85875,13738.85875,13738.85875,13738.85875,13738.85875,13738.85875,13738.85875,6139,6139,6139,23480.645,23480.645,NA,NA,NA,NA
2086,36565.98,72867.34,5044.344,5044.344,5044.344,5044.344,5044.344,5044.344,5044.344,5044.344,5044.344,5044.344,NA,NA,NA,NA,NA,NA
2087,10755.56,25810.42,32877.39,32877.39,1709.91777777778,1709.91777777778,1709.91777777778,1709.91777777778,1709.91777777778,1709.91777777778,1709.91777777778,1709.91777777778,1709.91777777778,10500.2333333333,10500.2333333333,10500.2333333333,NA,NA
2089,NA,NA,NA,NA,NA,10755.56,25810.42,30338.235,30338.235,21029.53,16431.36,11740.3225,11740.3225,11740.3225,11740.3225,NA,NA,NA
2098,20971.34,15594.64,7023.80461538462,7023.80461538462,7023.80461538462,7023.80461538462,7023.80461538462,7023.80461538462,7023.80461538462,7023.80461538462,7023.80461538462,7023.80461538462,7023.80461538462,7023.80461538462,7023.80461538462,18417,23480.645,23480.645
2102,NA,NA,120666.43,18417,5870.16125,5870.16125,5870.16125,5870.16125,5870.16125,5870.16125,5870.16125,5870.16125,NA,NA,NA,NA,NA,NA
2103,NA,36565.98,78585.75,11178.37,11740.3225,11740.3225,11740.3225,11740.3225,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2117,NA,23826.27,28880.44,7500.05,7500.05,15653.7633333333,15653.7633333333,15653.7633333333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2122,10755.56,25810.42,1415.4225,1415.4225,1415.4225,1415.4225,1415.4225,1415.4225,1415.4225,1415.4225,1415.4225,1415.4225,1415.4225,1415.4225,31886.5566666667,31886.5566666667,31886.5566666667,NA
2123,NA,53551.05,67115.37,5333.55333333333,5333.55333333333,5333.55333333333,5333.55333333333,5333.55333333333,5333.55333333333,NA,NA,NA,NA,NA,NA,NA,NA,NA
