"","FishID","SD","rel","end"
"1","1.MJ",331142.996879732,"2012-03-30","2012-04-15"
"2","10.MJ",223700.325847144,"2012-03-30","2012-04-08"
"3","11.MJ",670986.535500083,"2012-03-30","2012-04-05"
"4","12.MJ",619314.6746843,"2012-03-30","2012-04-12"
"5","13.MJ",368822.436859292,"2012-03-30","2012-04-13"
"6","14.MJ",18041.9135222725,"2012-03-30","2012-04-09"
"7","15.MJ",39822.0918368025,"2012-03-30","2012-04-12"
"8","16.MJ",37381.3555183857,"2012-03-30","2012-04-07"
"9","17.MJ",79986.748968425,"2012-03-30","2012-04-07"
"10","18.MJ",25420.4646964247,"2012-03-30","2012-04-10"
"11","19.MJ",18837.8230670277,"2012-03-30","2012-04-09"
"12","2.MJ",379366.864364308,"2012-03-30","2012-04-14"
"13","20.MJ",18265.1345326606,"2012-03-30","2012-04-05"
"14","21.MJ",369141.147813652,"2012-03-30","2012-04-12"
"15","22.MJ",22452.7584457217,"2012-03-30","2012-04-10"
"16","23.MJ",14495.3716983211,"2012-03-30","2012-04-14"
"17","24.MJ",191219.406519686,"2012-03-30","2012-04-13"
"18","25.MJ",78738.8227840484,"2012-03-30","2012-04-15"
"19","26.MJ",75634.1057442589,"2012-03-30","2012-04-10"
"20","27.MJ",486063.705704827,"2012-03-30","2012-04-06"
"21","28.MJ",239600.869671971,"2012-03-30","2012-04-06"
"22","29.MJ",10825.6194687135,"2012-03-30","2012-04-15"
"23","3.MJ",206117.64435575,"2012-03-30","2012-04-05"
"24","30.MJ",18036.8937867848,"2012-03-30","2012-04-07"
"25","4.MJ",220572.373129133,"2012-03-30","2012-04-14"
"26","5.MJ",32745.303974112,"2012-03-30","2012-04-11"
"27","6.MJ",319476.871852039,"2012-03-30","2012-04-08"
"28","7.MJ",216713.843085718,"2012-03-30","2012-04-11"
"29","8.MJ",96607.2985064437,"2012-03-30","2012-04-09"
"30","9.MJ",313588.411936796,"2012-03-30","2012-04-08"
