"","FishID","X2013.04.01","rel","end","Year"
"1","31.MJ",NA,"2013-03-06","2013-03-26","2013"
"2","32.MJ",NA,"2013-03-06","2013-03-23","2013"
"3","33.MJ",NA,"2013-03-06","2013-03-31","2013"
"4","34.MJ",NA,"2013-03-06","2013-03-15","2013"
"5","35.MJ",NA,"2013-03-06","2013-03-20","2013"
"6","36.MJ",NA,"2013-03-06","2013-03-16","2013"
"7","37.MJ",NA,"2013-03-06","2013-03-31","2013"
"8","38.MJ",NA,"2013-03-06","2013-03-21","2013"
"9","39.MJ",NA,"2013-03-06","2013-03-22","2013"
"10","40.MJ",NA,"2013-03-06","2013-03-21","2013"
"11","41.MJ",NA,"2013-03-06","2013-03-21","2013"
"12","42.MJ",NA,"2013-03-06","2013-03-25","2013"
"13","43.MJ",NA,"2013-03-06","2013-03-27","2013"
"14","44.MJ",NA,"2013-03-06","2013-03-22","2013"
"15","45.MJ",NA,"2013-03-06","2013-03-15","2013"
"16","46.MJ",NA,"2013-03-06","2013-03-26","2013"
"17","47.MJ",NA,"2013-03-06","2013-03-23","2013"
"18","48.MJ",NA,"2013-03-06","2013-03-19","2013"
"19","49.MJ",NA,"2013-03-06","2013-03-23","2013"
"20","50.MJ",NA,"2013-03-06","2013-03-12","2013"
"21","51.MJ",NA,"2013-03-06","2013-03-27","2013"
"22","52.MJ",NA,"2013-03-06","2013-03-21","2013"
"23","53.MJ",NA,"2013-03-06","2013-03-21","2013"
"24","54.MJ",NA,"2013-03-06","2013-03-25","2013"
"25","55.MJ",NA,"2013-03-06","2013-03-13","2013"
"26","56.MJ",157.760070276947,"2013-03-06","2013-03-31","2013"
"27","57.MJ",NA,"2013-03-06","2013-03-12","2013"
"28","58.MJ",NA,"2013-03-06","2013-03-25","2013"
"29","59.MJ",NA,"2013-03-06","2013-03-12","2013"
"30","60.MJ",NA,"2013-03-06","2013-03-26","2013"
"31","61.MJ",NA,"2013-03-06","2013-03-17","2013"
"32","62.MJ",NA,"2013-03-06","2013-03-22","2013"
"33","63.MJ",NA,"2013-03-06","2013-03-19","2013"
