"FishID","TagID","travel_time","Release_Group_SAIL","Year","Route","TagType","tt.grp","SD","rel","end","PDO"
"1.MJ",2051,11.7708796296296,"Tidal Delta",2012,"Yolo","Vemco","Chips",331142.996879732,2012-03-30,2012-04-15,-1.335
"1.YBUS",36186,6.54784722222222,"Middle Sacramento River",2016,"SacR","Vemco","Chips",10628.3032512482,2016-02-21,2016-02-27,1.29
"10.MJ",2067,6.68800925925926,"Tidal Delta",2012,"Yolo","Vemco","Chips",223700.325847144,2012-03-30,2012-04-08,-1.335
"10.YBUS",36367,17.5514699074074,"Middle Sacramento River",2016,"SacR","Vemco","Chips",8970.87588085139,2016-02-21,2016-03-10,1.42
"100.YBUS",38784,6.91858796296296,"Middle Sacramento River",2016,"SacRSlough","Vemco","Chips",19272.218746628,2016-03-06,2016-03-13,1.55
"101.YBUS",38788,12.9833449074074,"Middle Sacramento River",2016,"SacR","Vemco","Chips",7789.82782383373,2016-03-06,2016-03-19,1.55
"102.YBUS",38789,4.66231481481482,"Middle Sacramento River",2016,"SacRSlough","Vemco","Chips",22582.3346150158,2016-03-06,2016-03-10,1.55
"103.YBUS",38791,4.16594907407407,"Middle Sacramento River",2016,"SacR","Vemco","Chips",25829.2046799298,2016-03-06,2016-03-10,1.55
"104.YBUS",38792,4.06575231481481,"Middle Sacramento River",2016,"SacR","Vemco","Chips",26476.0620141295,2016-03-06,2016-03-10,1.55
"105.YBUS",38793,6.70434027777778,"Middle Sacramento River",2016,"SacR","Vemco","Chips",28754.9239815257,2016-03-06,2016-03-12,1.55
"106.YBUS",38795,4.64451388888889,"Middle Sacramento River",2016,"SacR","Vemco","Chips",23854.7803844195,2016-03-06,2016-03-10,1.55
"107.YBUS",38796,4.14418981481481,"Middle Sacramento River",2016,"SacR","Vemco","Chips",26628.4310923004,2016-03-06,2016-03-10,1.55
"108.YBUS",38798,4.1191087962963,"Middle Sacramento River",2016,"SacR","Vemco","Chips",24155.2503085992,2016-03-06,2016-03-10,1.55
"109.YBUS",38799,8.21678240740741,"Middle Sacramento River",2016,"SacRSlough","Vemco","Chips",13751.8476424737,2016-03-06,2016-03-14,1.55
"11.MJ",2070,6.04434027777778,"Tidal Delta",2012,"Yolo","Vemco","Chips",670986.535500083,2012-03-30,2012-04-05,-1.335
"11.YBUS",36371,9.21305555555556,"Middle Sacramento River",2016,"SacR","Vemco","Chips",6081.53457905958,2016-02-21,2016-03-01,1.42
"110.YBUS",38815,5.16376157407407,"Middle Sacramento River",2016,"SacR","Vemco","Chips",22346.7450755248,2016-03-06,2016-03-11,1.55
"111.YBUS",38823,4.65361111111111,"Middle Sacramento River",2016,"SacR","Vemco","Chips",23462.2771481212,2016-03-06,2016-03-10,1.55
"112.YBUS",38824,5.19991898148148,"Middle Sacramento River",2016,"SacRSlough","Vemco","Chips",13536.3952768136,2016-03-06,2016-03-11,1.55
"113.YBUS",38826,4.63606481481481,"Middle Sacramento River",2016,"SacR","Vemco","Chips",21457.4786241538,2016-03-06,2016-03-10,1.55
